State,Area (sqmi),POP2010,POP2011,POP2012,POP2013,POP2014,POP2015,POP2016,POP2017,POP2018,PPA2010,PPA2011,PPA2012,PPA2013,PPA2014,PPA2015,PPA2016,PPA2017,PPA2018
AK,"570,641",713910,722128,730443,737068,736283,737498,741456,739700,735139,1.251066783,1.265468131,1.280039464,1.291649216,1.29027357,1.292402754,1.299338814,1.296261573,1.288268806
AL,"50,750",4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,8.386072855,8.40996178,8.438909928,8.464307682,8.484842484,8.50332696,8.522915458,8.542123682,8.565246801
AR,"52,075",2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,5.120494321,5.153269744,5.173417262,5.186097739,5.200103042,5.218776779,5.239577948,5.259602798,5.274302057
AZ,"113,642",6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,11.22802603,11.34275841,11.48704352,11.62335689,11.79447849,11.96842849,12.16364054,12.34402716,12.54383053
CA,"155,973",37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,65.39926504,65.95805244,66.50205646,67.04878724,67.63792297,68.20057619,68.63705377,68.972431,69.15308925
CO,"103,730",5047349,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,8.845051442,8.97430784,9.099673876,9.233537373,9.375598669,9.551754956,9.70700493,9.834352947,9.973498224
CT,"4,845",3579114,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,6.272094014,6.288161909,6.299139038,6.299654248,6.299098733,6.286127355,6.270388914,6.261900214,6.258786172
DE,"1,955",899593,907381,915179,923576,932487,941252,948921,956823,965479,1.576460507,1.590108317,1.603773651,1.618488682,1.634104454,1.649464374,1.662903647,1.676751232,1.691920139
FL,"53,997",18845537,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,33.02520674,33.38918339,33.81779788,34.25204463,34.77827741,35.41463372,36.12337179,36.73695546,37.22886543
GA,"57,919",9711881,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,17.01924853,17.17792973,17.35141709,17.47592444,17.64205166,17.83686591,18.05318931,18.24322122,18.41986643
HI,"6,423",1363963,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,2.390229584,2.417157197,2.444275823,2.467826532,2.478857986,2.492025634,2.501676185,2.496128038,2.48946886
IA,"55,875",3050745,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,5.346172112,5.373494018,5.390762318,5.420215162,5.448872408,5.46921795,5.487462345,5.50530018,5.517686251
ID,"82,751",1570746,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,2.75259927,2.775668065,2.795670132,2.823501992,2.85838557,2.893340997,2.948228396,3.010149989,3.067666011
IL,"55,593",12840503,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,22.50189348,22.54912283,22.57550719,22.59762092,22.57898223,22.53415545,22.46688724,22.39381327,22.29610386
IN,"35,870",6490432,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,11.37393212,11.41966315,11.45677054,11.51111294,11.55480241,11.5806996,11.62605561,11.66771753,11.73329116
KS,"81,823",2858190,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,5.00873579,5.028073693,5.056168414,5.070108878,5.08283667,5.097795286,5.101007464,5.097281829,5.101909957
KY,"39,732",4348181,4369821,4386346,4404659,4414349,4425976,4438182,4452268,4461153,7.619818765,7.657741032,7.686699694,7.718791675,7.735772579,7.756147911,7.777537892,7.802222413,7.817792623
LA,"43,566",4544532,4575625,4600972,4624527,4644013,4664628,4678135,4670560,4659690,7.963907255,8.018395103,8.062813573,8.104091714,8.138239278,8.174365319,8.198035192,8.184760646,8.165711892
MA,"7,838",6566307,6613583,6663005,6713315,6762596,6794228,6823608,6859789,6882635,11.50689663,11.58974381,11.67635168,11.76451569,11.85087647,11.90630887,11.95779483,12.02119897,12.06123465
MD,"9,775",5788645,5839419,5886992,5923188,5957283,5985562,6003323,6023868,6035802,10.14410987,10.233087,10.31645465,10.37988508,10.43963368,10.48919023,10.52031487,10.55631825,10.57723157
ME,"30,865",1327629,1328284,1327729,1328009,1330513,1328262,1331317,1334612,1339057,2.326557328,2.32770516,2.326732569,2.327223245,2.331611293,2.327666607,2.333020235,2.338794443,2.346583929
MI,"56,539",9877510,9882412,9897145,9913065,9929848,9931715,9950571,9973114,9984072,17.30949932,17.31808966,17.34390799,17.37180644,17.40121723,17.40448899,17.43753253,17.47703723,17.49624019
MN,"79,617",5310828,5346143,5376643,5413479,5451079,5482032,5522744,5566230,5606249,9.306776064,9.368662609,9.422111275,9.486663244,9.552554058,9.606796567,9.678140898,9.754346428,9.824476335
MO,"68,898",5995974,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,10.50743637,10.53249766,10.5571927,10.58584119,10.61298084,10.64019585,10.6671883,10.70142173,10.7276256
MS,"46,914",2970548,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,5.205633665,5.219973679,5.22888471,5.237462783,5.240541777,5.237042203,5.236108166,5.237110548,5.223984957
MT,"145,556",990697,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1.736112547,1.747711784,1.759044653,1.776193789,1.790738836,1.805820122,1.824017202,1.844385524,1.858725538
NC,"48,718",9574323,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,16.77818979,16.92411166,17.08513058,17.24961228,17.40654282,17.5796096,17.79540552,17.99420827,18.19290062
ND,"68,994",674715,685225,701176,722036,737401,754066,754434,754942,758080,1.182380866,1.200798751,1.228751527,1.265306909,1.29223277,1.32143677,1.322081659,1.322971886,1.328470965
